Subsite_Code,Subsite_Name,Subsite_Type,System,Zone,date_sampled,Sample_No,Measure,Result,Result_Qualifier,Result_Text,Units
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675526,Zinc,0.004,NULL,0.004,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8675525,Total DDT,0.00003,NULL,NULL,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8593467,Total Nitrogen,0.6,NULL,0.6,mg/L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8593467,Ammonia - Nitrogen,0.05,<,<0.1,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8593469,Nitrite - Nitrogen,0.005,<,<0.01,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8593469,Nitrate - Nitrogen,0.18,NULL,0.18,mg N / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8593469,Phosphate,0.005,<,<0.01,mg P / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8593467,Total Phosphorus,0.06,NULL,0.06,mg P / L
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8593468,Turbidity,8.6,NULL,8.6,NTU
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8593470,Colour,60,NULL,60,Pt/Co units
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8593470,Electrical Conductivity,150,NULL,150,uS/cm
SITE17,Kangaroo Creek at O'Donnells Rd,Catchment,Kyneton,Malmsbury,4/07/2023,8593470,pH,7.6,NULL,7.6,Units
